"Identifier"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Synonym"	"GSD_type"	"Sex_chromosome_karyotype"	"Size_difference"	"Larger_chromosome"	"Size_note"	"GSD_note"	"GSD_reference"	"TSD_type"	"TSD_type_detailed"	"Low_temperature_sex"	"Low_temperature_threshold"	"Intermediate_temperature_sex"	"High_temperature_sex"	"High_temperature_threshold"	"Thermal_sex_reversal_proven"	"TSD_note"	"TSD_reference"	"Sex_reversal_in_nature"	"Sex_reversal_reference"	"Polyploid"	"Polyploid_reference"	"Other_note"	"GSD_info_curated_by"	"TSD_info_curated_by"	"Taxonomy_reference"
"hsdA1.11"	"Amphibia"	"Anura"	"Bufonidae"	"Bufotes"	"Bufotes balearicus"	"Bufo balearicus"	"XX/XY"	"homomorphic"					"[234]"																"EN"		"[5]"
"hsdA1.12"	"Amphibia"	"Anura"	"Bufonidae"	"Bufotes"	"Bufotes boulengeri"	"Bufotes siculus"	"XX/XY"	"homomorphic"					"[370]"															"Bufotes siculus (also known as Bufo siculus) is considered as a subspecies of B. boulengeri by amphibiaweb.org"	"Tree of Sex database"		"[5]"
"hsdA1.13"	"Amphibia"	"Anura"	"Bufonidae"	"Bufotes"	"Bufotes sitibundus"	"Bufo variabilis"	"XX/XY"						"[374]"																"EN"		"[5]"
"hsdA1.14"	"Amphibia"	"Anura"	"Bufonidae"	"Bufotes"	"Bufotes turanensis"	"Bufo shaartusiensis"	"XX/XY"	"homomorphic"					"[234], [372]"																"Tree of Sex database"		"[5]"
"hsdA1.15"	"Amphibia"	"Anura"	"Bufonidae"	"Bufotes"	"Bufotes viridis"	"Bufo viridis"	"XX/XY"	"homomorphic"					"[370]"													"tetraploids may occur"	"[280]"		"EN, Tree of Sex database"		"[5]"
"hsdA1.16"	"Amphibia"	"Anura"	"Bufonidae"	"Duttaphrynus"	"Duttaphrynus melanostictus"	"Bufo melanostictus"	"XX/XY"	"homomorphic"					"[360]"																"Tree of Sex database"		"[5]"
"hsdA1.17"	"Amphibia"	"Anura"	"Bufonidae"	"Rhinella"	"Rhinella marina"	"Bufo marinus"	"ZW/ZZ"	"identified"	"yes"	"W"		"chromosome pair 7"	"[1]"																"EN"		"[5]"
"hsdA1.18"	"Amphibia"	"Anura"	"Bufonidae"	"Strauchbufo"	"Strauchbufo raddei"	"Bufo raddei"	"XX/XY"	"homomorphic"					"[44]"																"Tree of Sex database"		"[5]"
"hsdA1.19"	"Amphibia"	"Anura"	"Centrolenidae"	"Vitreorana"	"Vitreorana antisthenesi"	"Centrolenella anthistenesi"	"XX/XY"	"identified"	"no"				"[336]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.20"	"Amphibia"	"Anura"	"Dicroglossidae"	"Euphlyctis"	"Euphlyctis cyanophlyctis"	"Rana cyanophlyctis"	"ZW/ZZ"	"identified"					"[16]"	"FM ?"	"E-M"			"even"	"male"	"28"		"Low temperatures (20-22 degrees Celsius) were lethal."	"[281]"						"EN"	"EN, VB"	"[5]"
"hsdA1.21"	"Amphibia"	"Anura"	"Dicroglossidae"	"Fejervarya"	"Fejervarya limnocharis"	"Rana limnocharis"	"XX/XY"	"identified"					"[272]"																"VB, EN"		"[5]"
"hsdA1.22"	"Amphibia"	"Anura"	"Dicroglossidae"	"Hoplobatrachus"	"Hoplobatrachus rugulosus"									"FM ?"	"E-M"			"even"	"male"	"34"			"[376]"							"EN, VB"	"[5]"
"hsdA1.23"	"Amphibia"	"Anura"	"Dicroglossidae"	"Hoplobatrachus"	"Hoplobatrachus tigerinus"	"Rana tigrina"	"ZW/ZZ"	"identified"					"[41], [311]"																"Tree of Sex database"		"[5]"
"hsdA1.24"	"Amphibia"	"Anura"	"Dicroglossidae"	"Quasipaa"	"Quasipaa boulengeri"		"XX/XY"	"identified"					"[415]"																"VB, Tree of Sex database"		"[5]"
"hsdA1.25"	"Amphibia"	"Anura"	"Dicroglossidae"	"Quasipaa"	"Quasipaa spinosa"									"FM"	"F-M"	"female"	"16"	"even"	"male"	"31"		"From abstract (text is Chinese)."	"[227]"							"EN, VB"	"[5]"
"hsdA1.26"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus albipes"		"ZW/ZZ"	"identified"	"yes"	"W"			"[368]"																"EN"		"[5]"
"hsdA1.27"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus casparii"		"ZW/ZZ"	"identified"	"yes"	"W"			"[368]"																"EN"		"[5]"
"hsdA1.28"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus cavernicola"		"XX/XY"	"identified"	"yes"	"Y"	"male individuals with a Y-autosome fusion coexist with males without the fusion"		"[368]"																"EN"		"[5]"
"hsdA1.29"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus cundalli"		"XX/XY"	"identified"			"Y is possibly involved in a centric (Robertsonian) fusion with an autosome"		"[368]"																"EN"		"[5]"
"hsdA1.30"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus cuneatus"		"ZW/ZZ"	"identified"	"yes"	"W"			"[368]"																"EN"		"[5]"
"hsdA1.31"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus emiliae"		"ZW/ZZ"	"identified"	"yes"	"W"			"[368]"																"EN"		"[5]"
"hsdA1.32"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus glamyrus"		"ZW/ZZ"	"identified"	"yes"	"W"			"[368]"																"EN"		"[5]"
"hsdA1.33"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus heminota"		"XX/XY"	"identified"			"Y is possibly involved in a centric (Robertsonian) fusion with an autosome"		"[321]"																"VB, EN"		"[5]"
"hsdA1.34"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus johnstonei"		"XX/XY"	"identified"					"[321]"																"VB, EN"		"[5]"
"hsdA1.35"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus oxyrhyncus"		"XX/XY"	"identified"	"yes"	"Y"			"[368]"																"EN"		"[5]"
"hsdA1.36"	"Amphibia"	"Anura"	"Eleutherodactylidae"	"Eleutherodactylus"	"Eleutherodactylus turquinensis"		"ZW/ZZ"	"identified"	"yes"	"W"			"[368]"																"EN"		"[5]"
"hsdA1.37"	"Amphibia"	"Anura"	"Hemiphractidae"	"Gastrotheca"	"Gastrotheca ovifera"		"XX/XY"	"identified"	"yes"	"X"			"[330], [335]"																"EN"		"[5]"
"hsdA1.38"	"Amphibia"	"Anura"	"Hemiphractidae"	"Gastrotheca"	"Gastrotheca peruana"		"XX/XY"	"identified"	"yes"	"Y"	"Y is slightly larger; some males have homomorphic X and Y"		"[337]"																"EN"		"[5]"
"hsdA1.39"	"Amphibia"	"Anura"	"Hemiphractidae"	"Gastrotheca"	"Gastrotheca pseustes"		"XX/XY"	"identified"	"no"				"[117], [319]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.40"	"Amphibia"	"Anura"	"Hemiphractidae"	"Gastrotheca"	"Gastrotheca riobambae"		"XX/XY"	"identified"	"yes"	"Y"			"[333]"																"Tree of Sex database"		"[5]"
"hsdA1.41"	"Amphibia"	"Anura"	"Hemiphractidae"	"Gastrotheca"	"Gastrotheca walkeri"		"XX/XY"	"identified"	"yes"	"X"			"[330]"																"EN"		"[5]"
"hsdA1.42"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla arborea"		"XX/XY"	"homomorphic"					"[27], [371]"	"FM ?"	"E?-M?"			"even?"	"male?"	"30"		"small sample sizes (3 males, 4 females at 20 degrees Celsius; 6 males, 3 females at 30 degrees Celsius)"	"[385]"						"EN, Tree of Sex database"	"VB"	"[5]"
"hsdA1.43"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla femoralis"	"Dryophytes femoralis"	"XX/XY"	"identified"	"yes"	"X"			"[327]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.44"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla intermedia"		"XX/XY"	"homomorphic"					"[234]"																"EN"		"[5]"
"hsdA1.45"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla japonica"	"Dryophytes japonicus"	"XX/XY"	"homomorphic"					"[164]"											"suggestive evidence for XY females and YY males"	"[165]"				"EN, Tree of Sex database"		"[5]"
"hsdA1.46"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla meridionalis"		"XX/XY"	"homomorphic"					"[74]"																"EN"		"[5]"
"hsdA1.47"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla molleri"	"Hyla arborea molleri"	"XX/XY"	"homomorphic"					"[234]"																"EN"		"[5]"
"hsdA1.48"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla orientalis"		"XX/XY"	"homomorphic"					"[74]"																"EN"		"[5]"
"hsdA1.49"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla sarda"		"ZW/ZZ"						"[75]"																"VB"		"[5]"
"hsdA1.50"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla savignyi"		"ZW/ZZ"	"homomorphic"					"[7], [75]"																"VB, Tree of Sex database"		"[5]"
"hsdA1.51"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla squirella"	"Dryophytes squirellus"	"ZW/ZZ"	"homomorphic"					"[329]"																"VB"		"[5]"
"hsdA1.52"	"Amphibia"	"Anura"	"Hylidae"	"Hyla"	"Hyla suweonensis"	"Dryophytes suweonensis"	"ZW/ZZ"	"homomorphic"					"[74]"																"EN"		"[5]"
"hsdA1.53"	"Amphibia"	"Anura"	"Hylidae"	"Hyloscirtus"	"Hyloscirtus alytolylax"		"XX/XY"	"identified"	"yes"	"X"	"Y is slightly smaller"		"[85]"																"VB, EN"		"[5]"
"hsdA1.54"	"Amphibia"	"Anura"	"Hylidae"	"Litoria"	"Litoria aurea"		"XX/XY"	"homomorphic"					"[365]"																"VB"		"[5]"
"hsdA1.55"	"Amphibia"	"Anura"	"Hylidae"	"Phasmahyla"	"Phasmahyla exilis"		"XX/XY"	"homomorphic"					"[254]"																"Tree of Sex database"		"[5]"
"hsdA1.56"	"Amphibia"	"Anura"	"Hylidae"	"Phyllomedusa"	"Phyllomedusa rohdei"	"Pithecopus rohdei"	"XX/XY"	"homomorphic"					"[254]"																"Tree of Sex database"		"[5]"
"hsdA1.57"	"Amphibia"	"Anura"	"Hylidae"	"Pseudacris"	"Pseudacris triseriata"	"Pseudacris nigrita triseriata"	"XX/XY"						"[120]"																"EN"		"[5]"
"hsdA1.58"	"Amphibia"	"Anura"	"Hylidae"	"Pseudis"	"Pseudis bolbodactyla"		"ZW/ZZ"	"identified"				"based on satellite DNA"	"[93]"																"EN"		"[5]"
"hsdA1.59"	"Amphibia"	"Anura"	"Hylidae"	"Pseudis"	"Pseudis fusca"		"ZW/ZZ"	"identified"					"[234]"																"EN"		"[5]"
"hsdA1.60"	"Amphibia"	"Anura"	"Hylidae"	"Pseudis"	"Pseudis paradoxa"	"Pseudis p. paradoxia"	"ZW/ZZ"	"identified"			"Rare size heteromorphism may exist in some populations"		"[34], [234]"																"EN"		"[5]"
"hsdA1.61"	"Amphibia"	"Anura"	"Hylidae"	"Pseudis"	"Pseudis platensis"	"Pseudis p. platensis"	"ZW/ZZ"	"identified"			"Rare size heteromorphism may exist in some populations"		"[34], [234]"																"EN"		"[5]"
"hsdA1.62"	"Amphibia"	"Anura"	"Hylidae"	"Pseudis"	"Pseudis tocantins"		"ZW/ZZ"	"identified"	"yes"	"W"			"[34], [92]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.63"	"Amphibia"	"Anura"	"Hyperoliidae"	"Hyperolius"	"Hyperolius viridiflavus"		"XX/XY"	"homomorphic"					"[57]"																"Tree of Sex database"		"[5]"
"hsdA1.64"	"Amphibia"	"Anura"	"Leiopelmatidae"	"Leiopelma"	"Leiopelma archeyi"		"ZW/ZZ"	"identified"	"yes"	"W"			"[116]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.65"	"Amphibia"	"Anura"	"Leiopelmatidae"	"Leiopelma"	"Leiopelma hamiltoni"	"Leiopelma pakeka"	"ZW/ZZ"	"identified"	"no"				"[115], [117], [326]"															"Leiopelma hamiltoni and L. pakeka are now considered as one species by amphibiaweb.org"	"EN, Tree of Sex database"		"[5]"
"hsdA1.66"	"Amphibia"	"Anura"	"Leiopelmatidae"	"Leiopelma"	"Leiopelma hochstetteri"		"W0/00"	"identified"				"Only females have a sex chromosome."	"[118]"															"B chromosomes"	"Tree of Sex database"		"[5]"
"hsdA1.67"	"Amphibia"	"Anura"	"Leptodactylidae"	"Engystomops"	"Engystomops coloradorum"		"ZW/ZZ"	"identified"					"[378]"													"triploids may occur"	"[280]"		"EN"		"[5]"
"hsdA1.68"	"Amphibia"	"Anura"	"Leptodactylidae"	"Engystomops"	"Engystomops freibergi"		"XX/XY"	"identified"	"yes"	"X"	"Y is smaller, at least  in some populations"		"[377]"																"EN"		"[5]"
"hsdA1.69"	"Amphibia"	"Anura"	"Leptodactylidae"	"Engystomops"	"Engystomops petersi"	"Physalaemus petersi"	"XX/XY"	"identified"	"yes"	"X"	"Y is smaller, at least  in some populations"		"[214], [377]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.70"	"Amphibia"	"Anura"	"Leptodactylidae"	"Leptodactylus"	"Leptodactylus bufonius"		"XX/XY"	"identified"					"[339]"																"EN"		"[5]"
"hsdA1.71"	"Amphibia"	"Anura"	"Leptodactylidae"	"Leptodactylus"	"Leptodactylus pentadactylus"		"complex XX/XY"	"identified"				"6X6Y"	"[95]"																"VB, Tree of Sex database"		"[5]"
"hsdA1.72"	"Amphibia"	"Anura"	"Leptodactylidae"	"Physalaemus"	"Physalaemus ephippifer"		"ZW/ZZ"	"identified"	"yes"	"W"			"[244]"																"EN"		"[5]"
"hsdA1.73"	"Amphibia"	"Anura"	"Leptodactylidae"	"Pseudopaludicola"	"Pseudopaludicola saltica"		"XX/XY"	"homomorphic"					"[73]"																"Tree of Sex database"		"[5]"
"hsdA1.74"	"Amphibia"	"Anura"	"Microhylidae"	"Microhyla"	"Microhyla fissipes"		"XX/XY"	"identified"	"yes"	"X"	"X is much larger"		"[314]"																"VB, EN"		"[5]"
"hsdA1.75"	"Amphibia"	"Anura"	"Myobatrachidae"	"Crinia"	"Crinia bilingua"		"ZW/ZZ"	"identified"	"yes"	"W"			"[219]"																"Tree of Sex database"		"[5]"
"hsdA1.76"	"Amphibia"	"Anura"	"Myobatrachidae"	"Platyplectrum"	"Platyplectrum ornatum"		"XX/XY"					"XX/XY system was identified based on sex-linked loci in one population, and  the results were unclear in the other: more than 100 loci conformed with ZW/ZZ, but a comparable number of loci suggested XX/XY sex determination in that population too."	"[318]"																"EN"		"[5]"
"hsdA1.77"	"Amphibia"	"Anura"	"Odontophrynidae"	"Proceratophrys"	"Proceratophrys boiei"		"ZW/ZZ"	"identified"					"[6]"																"Tree of Sex database"		"[5]"
"hsdA1.78"	"Amphibia"	"Anura"	"Pelodytidae"	"Pelodytes"	"Pelodytes punctatus"		"XX/XY"						"[326], [416]"																"Tree of Sex database"		"[5]"
"hsdA1.79"	"Amphibia"	"Anura"	"Pipidae"	"Hymenochirus"	"Hymenochirus boettgeri"		"XX/XY"					"Sex chromosome is correpsonding with X. tropicalis chromosome 4, based on sex-linked SNPs. "	"[40]"																"EN"		"[5]"
"hsdA1.80"	"Amphibia"	"Anura"	"Pipidae"	"Pipa"	"Pipa parva"		"XX/XY"					"Sex chromosome is correpsonding with X. tropicalis chromosome 6, based on sex-linked SNPs. "	"[40]"																"EN"		"[5]"
"hsdA1.81"	"Amphibia"	"Anura"	"Pipidae"	"Xenopus"	"Xenopus borealis"		"ZW/ZZ"	"homomorphic"					"[234], [364]"													"tetraploid"	"[280]"		"EN"		"[5]"
"hsdA1.82"	"Amphibia"	"Anura"	"Pipidae"	"Xenopus"	"Xenopus gilli"		"ZW/ZZ"						"[40]"													"tetraploid"	"[280]"		"EN"		"[5]"
"hsdA1.83"	"Amphibia"	"Anura"	"Pipidae"	"Xenopus"	"Xenopus laevis"		"ZW/ZZ"	"homomorphic"					"[325], [414]"													"tetraploid"	"[280]"		"EN, Tree of Sex database"		"[5]"
"hsdA1.84"	"Amphibia"	"Anura"	"Pipidae"	"Xenopus"	"Xenopus sp. hybrids"									"MF"	"M-F"	"male"	"17"	"even"	"female"	"26"		"Data from those triploid and tetraploid hybrids were considered here for which sex ratio data were available at all three studied temperature ranges. 19-21 degrees Celsius caused either no strong sex-ratio bias or male excess, and 26-27 degrees Celsius caused either no strong sex-ratio bias or female excess."	"[179]"							"EN, VB"	"[5]"
"hsdA1.85"	"Amphibia"	"Anura"	"Pipidae"	"Xenopus"	"Xenopus tropicalis"	"Silurana tropicalis"	"ZWY"					"Previously thought to be ZW/ZZ. Individuals with YZ, YW or ZZ sex chromosomes are males, and those with ZW or WW chromosomes are females, as demonstrated by laboratory crosses."	"[295]"													"triploids may occur"	"[29], [280], [386]"		"VB, EN"		"[5]"
"hsdA1.86"	"Amphibia"	"Anura"	"Pyxicephalidae"	"Pyxicephalus"	"Pyxicephalus adspersus"		"ZW/ZZ"	"identified"	"yes"	"Z"	"W is much smaller"		"[322], [324]"																"Tree of Sex database"		"[5]"
"hsdA1.87"	"Amphibia"	"Anura"	"Pyxicephalidae"	"Tomopterna"	"Tomopterna delalandii"	"Pyxicephalus delalandii"	"ZW/ZZ"	"identified"	"no"				"[322], [335]"													"tetraploids may occur"	"[280]"		"EN, Tree of Sex database"		"[5]"
"hsdA1.88"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops chunganensis"		"XX/XY"						"[282]"																"EN"		"[5]"
"hsdA1.89"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops granulosus"		"XX/XY"						"[212]"																"VB"		"[5]"
"hsdA1.90"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops jinjiangensis"		"XX/XY"						"[282]"																"EN"		"[5]"
"hsdA1.91"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops lifanensis"		"XX/XY"						"[282]"																"EN"		"[5]"
"hsdA1.92"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops loloensis"	"Amolops liangshanensis"	"XX/XY"					"ZW/ZZ according to Wu & Zhao 1984 as cited by Liu, W. and Yang, D., 2000. A new species of Amolops (Anura: Ranidae) from Yunnan, China, with a discussion of karyological diversity in Amolops. Herpetologica, pp.231-238. https://www.jstor.org/stable/3893273 "	"[282]"																"VB, EN"		"[5]"
"hsdA1.93"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops mantzorum"		"XX/XY"	"identified"	"yes"	"Y"	"Y is slightly larger"	"subtelocentric Y resulted from a pericentric inversion, but not all authors found heteromorphism"	"[213], [216], [419]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.94"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops tuberodepressus"		"XX/XY"						"[282]"																"EN"		"[5]"
"hsdA1.95"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops wuyiensis"		"XX/XY"						"[282]"																"EN"		"[5]"
"hsdA1.96"	"Amphibia"	"Anura"	"Ranidae"	"Amolops"	"Amolops xinduqiao"		"XX/XY"						"[282]"																"EN"		"[5]"
"hsdA1.97"	"Amphibia"	"Anura"	"Ranidae"	"Glandirana"	"Glandirana rugosa"	"Rana rugosa"	"XX/XY or ZW/ZZ"	"identified"				"Sex determination system differs between populations: ZW in some and XY in others."	"[233], [253]"													"triploids may occur"	"[29], [280], [386]"		"VB, EN, Tree of Sex database"		"[5]"
"hsdA1.98"	"Amphibia"	"Anura"	"Ranidae"	"Odorrana"	"Odorrana narina"	"Rana narina"	"XX/XY"	"identified"	"yes"	"Y"			"[193]"																"EN"		"[5]"
"hsdA1.99"	"Amphibia"	"Anura"	"Ranidae"	"Odorrana"	"Odorrana swinhoana"		"complex XX/XY"					"X1X2X3Y1Y2Y3"	"[161], [235]"																"VB, Tree of Sex database"		"[5]"
"hsdA1.100"	"Amphibia"	"Anura"	"Ranidae"	"Odorrana"	"Odorrana utsunomiyaorum"		"ZW/ZZ"	"identified"				"Sex-linked loci are mapped to chromosome pair 9, and sex chromosomes were distinghuished by karyotpye as well: W was heterochromatinized in a stripe pattern along the chromosome axis."	"[161]"																"EN"		"[5]"
"hsdA1.101"	"Amphibia"	"Anura"	"Ranidae"	"Pelophylax"	"Pelophylax lessonae"	"Rana lessonae"	"XX/XY"						"[156]"													"various ploidies may occur"	"[280]"		"VB"		"[5]"
"hsdA1.102"	"Amphibia"	"Anura"	"Ranidae"	"Pelophylax"	"Pelophylax nigromaculatus"	"Rana nigromaculata"	"XX/XY"						"[234]"													"various ploidies may occur"	"[280]"		"EN"		"[5]"
"hsdA1.103"	"Amphibia"	"Anura"	"Ranidae"	"Pelophylax"	"Pelophylax perezi"		"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.104"	"Amphibia"	"Anura"	"Ranidae"	"Pelophylax"	"Pelophylax porosus"		"XX/XY"	"homomorphic"					"[156]"																"VB"		"[5]"
"hsdA1.105"	"Amphibia"	"Anura"	"Ranidae"	"Pelophylax"	"Pelophylax ridibundus"	"Rana ridibunda"	"XX/XY"	"homomorphic"					"[4], [416]"																"EN, Tree of Sex database"		"[5]"
"hsdA1.106"	"Amphibia"	"Anura"	"Ranidae"	"Pelophylax"	"Pelophylax saharicus"		"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.107"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana arvalis"		"XX/XY"						"[32], [156]"																"VB"		"[5]"
"hsdA1.108"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana berlandieri"	"Lithobates berlandieri"	"XX/XY"	"homomorphic"					"[234], [406]"																"EN"		"[5]"
"hsdA1.109"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana blairi"	"Lithobates blairi"	"XX/XY"	"homomorphic"					"[234], [406]"																"Tree of Sex database"		"[5]"
"hsdA1.110"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana catesbeiana"	"Lithobates catesbeianus"	"XX/XY"	"homomorphic"					"[156], [234]"	"FM ?"	"E-M"			"even"	"male"	"30"			"[142]"						"EN"	"EN, VB"	"[5]"
"hsdA1.111"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana chiricahuensis"	"Lithobates chiricahuensis"	"XX/XY"						"[156], [234]"																"VB"		"[5]"
"hsdA1.112"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana clamitans"	"Lithobates clamitans"	"XX/XY"	"homomorphic"					"[156], [234]"											"XX males, XY females"	"[199]"				"EN"		"[5]"
"hsdA1.113"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana dalmatina"		"XX/XY"	"homomorphic"					"[121], [156], [247]"	"FM ?"	"E-M"			"even"	"male"	"28"	"yes"	"Low temperatures were not tested."	"[384]"	"XX males"	"[247]"				"VB, EN"	"EN, VB"	"[5]"
"hsdA1.114"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana dybowskii"		"XX/XY"						"[408], [410]"	"FM ?"	"E-M"			"even"	"male"	"20"	"yes"	"No male-to-female sex reversal occured at 15 degrees Celsius in Rana dybowskii (Xu et al. (2022)  https://doi.org/10.1111/1749-4877.12577). We assessed TSD pattern based on individuals that were not fathered by pseudomale."	"[409]"	"XX males"	"[409]"				"EN, Tree of Sex database"	"EN, VB"	"[5]"
"hsdA1.115"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana iberica"		"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.116"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana italica"		"XX/XY"						"[156]"																"VB"		"[5]"
"hsdA1.117"	"Amphibia"	"Anura"	"Ranidae"	"Rana"	"Rana japonica"		"XX/XY"	"identified"	"no"				"[165], [232], [335]"													"triploids may occur"	"[280]"		"EN, Tree of Sex database"		"[5]"
